date,nav
2026-04-08,6257.8917
2026-03-08,6256.4653
,6251.9433
,6249.5705
,6248.7985
,6248.4821
,6246.9483
,6242.1652
,6240.5818
,6238.7028
,6238.7844
,6235.2804
,6234.115
,6230.8027
,6228.0939
,6227.1416
,6230.5791
2026-10-07,6228.9381
2026-09-07,6227.9863
2026-08-07,6224.3456
2026-07-07,6227.8516
2026-06-07,6231.476
2026-03-07,6229.0236
2026-02-07,6229.4422
2026-01-07,6225.516
,6220.8373
,6217.3124
,6209.1907
,6204.477
,6200.8511
,6199.4871
,6195.7815
,6194.652
,6193.3504
,6191.812
,6187.8223
2026-12-06,6181.8148
2026-11-06,6179.1996
2026-10-06,6181.7967
2026-09-06,6180.6685
2026-08-06,6174.2084
2026-05-06,6168.4755
2026-04-06,6160.9434
2026-03-06,6159.9626
2026-02-06,6158.9665
2026-01-06,6156.7532
,6151.1139
,6146.6118
,6144.0004
,6144.8478
,6142.638
,6142.8808
,6147.5856
,6149.7598
,6148.4847
,6148.3016
,6148.9361
,6150.1257
2026-12-05,6150.5076
2026-11-05,6151.8671
2026-08-05,6151.3707
2026-07-05,6149.9098
2026-06-05,6149.0307
2026-05-05,6146.0001
2026-04-05,6145.7049
,6140.1614
,6141.8799
,6143.001
,6142.5902
,6142.2018
,6141.9603
,6143.3663
,6142.9601
,6142.2537
,6139.2351
,6139.7004
,6137.6962
,6133.4071
2026-10-04,6129.7674
2026-09-04,6126.1544
2026-08-04,6119.1243
2026-07-04,6110.1834
2026-06-04,6107.3346
2026-02-04,6104.7264
,6102.5131
,6101.3858
,6095.1859
,6090.541
,6089.2045
,6090.1601
,6093.5261
,6093.8586
,6089.0993
,6086.3434
,6083.6197
2026-12-03,6087.112
2026-11-03,6088.3404
2026-10-03,6086.6516
2026-09-03,6085.2288
2026-06-03,6084.2962
2026-05-03,6082.3927
2026-04-03,6081.0589
2026-02-03,6081.764
,6079.9195
,6078.8123
,6077.5886
,6076.1758
,6074.6388
,6071.6571
,6069.767
,6069.7063
,6069.3783
,6066.864
2026-12-02,6063.705
2026-11-02,6061.1204
2026-10-02,6058.8643
