date,nav
2026-04-08,208.7577
2026-03-08,207.5217
,204.7896
,204.8096
,207.1837
,206.0616
,206.7707
,204.8535
,205.5539
,207.6748
,210.09
,209.4466
,208.9152
,208.7624
,209.4506
,207.3738
,208.1546
2026-10-07,208.3518
2026-09-07,206.8141
2026-08-07,204.4035
2026-07-07,206.4025
2026-06-07,207.3912
2026-03-07,207.3461
2026-02-07,208.5373
2026-01-07,206.4778
,206.8355
,205.1035
,203.9157
,205.0655
,203.5443
,204.1263
,202.0761
,200.9565
,199.8302
,198.6152
,198.032
2026-12-06,196.5577
2026-11-06,192.6722
2026-10-06,193.4371
2026-09-06,194.3813
2026-08-06,191.9092
2026-05-06,194.7547
2026-04-06,194.522
2026-03-06,194.081
2026-02-06,193.1295
2026-01-06,192.3195
,193.6836
,193.6848
,195.0501
,194.2258
,193.5599
,192.1227
,191.7575
,189.8661
,189.5553
,187.9126
,190.2405
,189.9345
,190.464
2026-12-05,190.6152
2026-11-05,195.586
2026-08-05,196.8821
2026-07-05,197.4753
2026-06-05,196.0036
2026-05-05,194.5618
2026-04-05,195.4469
,193.4131
,194.1523
,193.4843
,193.8317
,191.0425
,193.0317
,194.1928
,192.6397
,191.0583
,190.5242
,188.3316
,187.2786
,184.3491
2026-10-04,184.6967
2026-09-04,181.2455
2026-08-04,180.5783
2026-07-04,174.8342
2026-06-04,174.9151
2026-02-04,173.8471
2026-01-04,173.782
,169.3706
,169.3708
,172.4739
,175.4211
,172.0049
,169.1091
,174.6205
,173.9004
,177.4908
,174.0628
,173.8198
,173.9754
2026-12-03,177.9888
2026-11-03,178.3891
2026-10-03,178.8419
2026-09-03,175.7742
2026-06-03,178.9784
2026-05-03,179.3239
2026-04-03,177.9961
2026-02-03,181.3175
,184.7579
,184.7581
,186.095
,186.0488
,186.208
,187.5721
,186.2228
,186.6666
,188.2128
,187.6437
,185.8471
,187.236
2026-12-02,189.6029
2026-11-02,189.7464
2026-10-02,189.019
2026-09-02,188.469
2026-06-02,184.627
2026-05-02,185.6949
2026-04-02,186.7774
2026-03-02,186.7009
2026-02-02,180.5424
,183.301
,183.3021
,179.9408
,181.0873
,179.5515
,179.8035
,182.7544
,181.5325
,181.835
,185.4042
,186.9719
,187.3375
,187.6594
2026-12-01,186.1837
2026-09-01,187.0971
2026-08-01,190.16
2026-07-01,193.3173
2026-06-01,193.7027
2026-05-01,194.3786
2026-02-01,194.574
2026-01-01,193.6417
,193.7724
,191.9501
,192.541
,192.5913
,193.2848
,193.2652
,192.2573
,191.1157
,189.542
,190.0621
,191.3143
,193.1325
2025-12-12,192.3377
2025-11-12,191.4952
2025-10-12,191.2557
2025-09-12,191.3573
2025-08-12,190.1591
2025-05-12,193.1451
2025-04-12,193.4599
2025-03-12,194.3355
2025-02-12,194.4312
2025-01-12,195.3626
,194.979
,194.9784
,195.149
,195.8555
,194.2042
