date,nav
2026-04-08,112.916
2026-03-08,113.3801
,111.5685
,110.6762
,110.3876
,109.3376
,109.3678
,108.0484
,108.5863
,109.2279
,110.1859
,109.8895
,109.8582
,109.2867
,109.6775
,109.0188
,109.605
2026-10-07,109.7969
2026-09-07,108.7362
2026-08-07,107.9598
2026-07-07,110.0997
2026-06-07,110.2532
2026-03-07,109.3672
2026-02-07,109.4883
2026-01-07,108.6895
,108.0088
,107.7804
,108.3758
,108.2944
,107.5421
,108.4681
,107.9636
,108.0081
,107.5348
,107.014
,106.5977
2026-12-06,105.2124
2026-11-06,102.8808
2026-10-06,103.1873
2026-09-06,103.5259
2026-08-06,102.4845
2026-05-06,103.8102
2026-04-06,103.6421
2026-03-06,103.4809
2026-02-06,103.5959
2026-01-06,103.0948
,104.3083
,104.3129
,105.9296
,105.5115
,105.9217
,104.7708
,104.4915
,104.6046
,104.2767
,104.1556
,104.2918
,104.5531
,103.396
2026-12-05,103.3384
2026-11-05,105.6066
2026-08-05,107.15
2026-07-05,107.6729
2026-06-05,107.3354
2026-05-05,105.8387
2026-04-05,105.7449
,105.2845
,106.0698
,105.6212
,106.0528
,105.0928
,106.1301
,106.8299
,107.2434
,106.2063
,105.9826
,105.117
,104.9259
,103.2303
2026-10-04,104.1348
2026-09-04,102.5494
2026-08-04,103.2833
2026-07-04,99.3876
2026-06-04,98.8014
2026-02-04,97.52
2026-01-04,97.7184
,96.2753
,96.2768
,98.6739
,100.7319
,98.6597
,96.713
,99.6142
,99.1597
,102.4592
,101.2496
,100.396
,99.7111
2026-12-03,101.9718
2026-11-03,102.9776
2026-10-03,104.7593
2026-09-03,103.3882
2026-06-03,105.405
2026-05-03,106.7297
2026-04-03,105.4928
2026-02-03,107.5231
,108.9325
,108.9345
,110.2945
,109.9293
,109.3681
,110.291
,109.5273
,109.0091
,110.6303
,110.0806
,109.8444
,109.3409
2026-12-02,110.5365
2026-11-02,110.8392
2026-10-02,110.6519
2026-09-02,110.3845
2026-06-02,109.1756
