date,nav
2026-04-08,254.5024
2026-03-08,254.1965
,252.2089
,251.6049
,253.4389
,250.1527
,251.2699
,249.2715
,248.7576
,250.0375
,255.4054
,255.1596
,254.1999
,254.0699
,253.6838
,252.6488
,253.792
2026-10-07,252.7536
2026-09-07,250.2146
2026-08-07,246.671
2026-07-07,250.0029
2026-06-07,250.9377
2026-03-07,251.3342
2026-02-07,251.5008
2026-01-07,250.4484
,250.954
,250.6494
,249.312
,249.8412
,249.9814
,252.0694
,251.5713
,249.1553
,246.3925
,245.2402
,244.629
2026-12-06,244.7205
2026-11-06,240.5886
2026-10-06,241.9186
2026-09-06,244.2347
2026-08-06,242.1594
2026-05-06,246.0878
2026-04-06,246.0784
2026-03-06,245.6593
2026-02-06,246.8566
2026-01-06,246.9814
,248.6673
,251.2273
,251.2702
,249.2266
,247.8039
,248.8853
,244.7199
,241.6771
,241.2615
,242.0952
,243.5314
,240.0746
2026-12-05,238.1528
2026-11-05,242.7219
2026-08-05,244.6201
2026-07-05,245.6055
2026-06-05,245.3878
2026-05-05,242.9594
2026-04-05,242.7655
,240.5353
,242.345
,242.6241
,241.2517
,238.1456
,239.7583
,238.5702
,236.4598
,235.1961
,236.2133
,233.318
,231.5434
,226.9809
2026-10-04,228.6993
2026-09-04,224.6235
2026-08-04,224.5909
2026-07-04,217.9604
2026-06-04,217.6413
2026-02-04,216.2795
2026-01-04,216.7627
,212.3571
,212.3561
,215.979
,218.6866
,214.9164
,210.115
,215.8819
,214.0899
,219.4077
,215.8723
,213.4091
,212.7884
2026-12-03,216.8313
2026-11-03,217.2638
2026-10-03,217.2151
2026-09-03,213.7211
2026-06-03,215.1244
2026-05-03,216.0433
2026-04-03,213.8632
2026-02-03,217.4449
,221.2108
,223.828
,222.6482
,220.5605
,221.7051
,221.3408
,220.4132
,223.2608
,222.9773
,222.4954
,222.5748
2026-12-02,225.4245
2026-11-02,225.6929
2026-10-02,225.1996
2026-09-02,224.5198
2026-06-02,221.7398
2026-05-02,220.8275
2026-04-02,220.8543
2026-03-02,220.1536
2026-02-02,215.3687
,217.3627
,215.8206
,216.5481
,214.5324
,214.913
,218.2378
