date,nav
2026-04-08,102.9909
2026-03-08,103.6631
,101.8133
,101.5563
,101.4265
,100.2374
,100.4498
,99.3273
,99.7294
,100.0997
,101.0669
,101.3229
,101.802
,101.0586
,101.0231
,100.5326
,101.2495
2026-10-07,101.3203
2026-09-07,100.3086
2026-08-07,99.81
2026-07-07,101.9321
2026-06-07,102.1267
2026-03-07,101.3599
2026-02-07,101.4442
2026-01-07,100.8965
,100.4828
,100.7184
,101.1917
,101.0387
,100.4605
,101.3654
,100.7824
,100.9901
,100.604
,100.0048
,99.3506
2026-12-06,98.1776
2026-11-06,96.1712
2026-10-06,96.5862
2026-09-06,96.6849
2026-08-06,95.8952
2026-05-06,97.2456
2026-04-06,97.2621
2026-03-06,97.2167
2026-02-06,97.4783
2026-01-06,97.1944
,98.4656
,99.8092
,99.4356
,99.8047
,98.7497
,98.3781
,98.3933
,98.1289
,97.9372
,98.0059
,98.0606
,97.169
2026-12-05,97.1846
2026-11-05,99.2007
2026-08-05,100.4981
2026-07-05,101.2917
2026-06-05,101.1725
2026-05-05,99.9072
2026-04-05,100.0932
,99.5502
,100.3928
,99.9782
,100.6093
,99.76
,100.8016
,101.5803
,101.9645
,100.9566
,100.7903
,99.9263
,99.8843
,98.1851
2026-10-04,98.8886
2026-09-04,97.4948
2026-08-04,98.1861
2026-07-04,94.7584
2026-06-04,94.353
2026-02-04,93.2361
2026-01-04,92.9211
,91.4539
,91.455
,93.579
,95.6217
,93.8354
,92.1523
,94.8276
,94.5458
,97.5488
,96.6146
,95.9441
,95.1844
2026-12-03,97.31
2026-11-03,98.1139
2026-10-03,99.4725
2026-09-03,98.2895
2026-06-03,100.0829
2026-05-03,101.1422
2026-04-03,99.951
2026-02-03,101.8541
,103.3052
,104.5075
,104.4641
,103.9564
,104.8203
,104.2351
,103.5918
,105.2559
,104.7084
,104.5361
,103.8148
2026-12-02,104.9922
2026-11-02,105.5426
2026-10-02,105.3572
2026-09-02,104.8998
2026-06-02,103.9204
2026-05-02,103.759
2026-04-02,104.0764
2026-03-02,103.8538
2026-02-02,101.2456
,102.2355
,102.3949
,101.8416
,100.8952
,100.5127
,101.5393
,100.8963
,101.2908
,102.9226
,103.2136
,103.3177
,103.3735
2026-12-01,103.6218
2026-09-01,103.4654
2026-08-01,104.3327
2026-07-01,105.6078
2026-06-01,105.7006
2026-05-01,105.7109
2026-02-01,106.1272
2026-01-01,105.4001
,105.3421
,104.5935
,104.7188
,104.9912
,105.3548
,105.5381
,105.338
,104.7495
,104.0678
,104.1918
,104.4782
,105.1821
2025-12-12,105.2738
2025-11-12,104.659
2025-10-12,104.014
2025-09-12,104.2635
2025-08-12,104.3721
2025-05-12,105.4142
2025-04-12,105.0426
2025-03-12,105.0214
2025-02-12,105.2367
2025-01-12,105.5389
,105.6844
,105.684
,105.5755
,104.1712
,104.323
,104.8664
,105.6047
,105.1392
,104.6087
,105.1203
,104.6864
,104.6624
2025-12-11,104.6829
2025-11-11,104.1242
2025-10-11,103.8912
2025-07-11,103.6712
2025-06-11,103.6683
2025-04-11,104.296
2025-03-11,104.8494
,104.5102
,105.2376
,105.7985
,105.143
,105.1974
,104.6441
,105.0429
,104.88
,104.4673
,104.1594
,103.2825
,102.5439
,102.968
2025-10-10,103.236
2025-09-10,102.7968
2025-08-10,102.3564
2025-07-10,102.7883
2025-06-10,102.8296
2025-03-10,102.3835
2025-01-10,102.0581
,101.3
,101.3125
,102.4742
,103.3338
,103.8134
,103.8105
,104.3509
,104.5531
,104.2438
,103.9014
,103.15
2025-12-09,102.9764
2025-11-09,102.4033
2025-10-09,102.3512
2025-09-09,101.9677
2025-08-09,101.6765
2025-05-09,101.5517
2025-04-09,101.4965
2025-03-09,101.5909
2025-02-09,100.9907
2025-01-09,101.1664
,100.3496
,100.5523
,101.34
,102.3387
,102.052
,102.728
,102.6558
,102.2421
,101.6867
,100.5741
,100.5914
2025-12-08,99.7536
2025-11-08,99.916
2025-08-08,98.9884
2025-07-08,99.9091
2025-06-08,99.7886
2025-05-08,100.1112
2025-04-08,100.2779
2025-01-08,99.9113
,100.5941
,100.6886
,100.2101
,99.6981
,100.2598
,101.3281
,101.7894
,101.3272
,101.3735
,100.9286
,101.4318
,101.623
,101.4168
,101.0587
2025-11-07,101.2686
2025-10-07,101.799
2025-09-07,102.039
2025-08-07,102.0364
2025-07-07,101.754
2025-04-07,101.7883
2025-03-07,101.5231
2025-02-07,101.8391
2025-01-07,102.2738
,102.3501
,102.6148
,102.1458
,101.2439
,100.5325
,99.9129
,100.4075
,99.3123
,99.7448
,99.7999
,100.0818
,99.3528
2025-12-06,100.0453
2025-11-06,101.3151
2025-10-06,101.2256
2025-09-06,101.3481
2025-06-06,100.6269
2025-05-06,99.6617
2025-04-06,99.1551
2025-03-06,98.7161
2025-02-06,99.2736
,99.1611
,99.4341
,99.1118
,99.2431
,99.6536
,98.8611
,97.9101
,98.6038
,97.9113
,99.1325
,99.2225
,98.9453
,97.6473
,97.054
2025-12-05,97.9099
2025-09-05,94.3482
2025-08-05,95.1487
2025-07-05,96.0208
2025-06-05,95.5648
2025-05-05,96.5552
2025-02-05,95.9389
,95.8147
,96.0929
,96.0282
,94.8844
,96.0597
,96.1708
,95.6204
,95.3869
,94.1055
,92.8983
,92.3268
2025-11-04,90.0693
2025-09-04,88.641
2025-08-04,89.2409
2025-07-04,87.7802
2025-04-04,90.4333
2025-03-04,92.2243
2025-02-04,92.4165
2025-01-04,91.6629
,92.8702
,92.8735
,93.3884
,92.657
,93.5158
,93.8123
,92.543
,91.6767
,90.9711
,90.2544
,88.6746
,88.0656
2025-12-03,88.3738
2025-11-03,88.5042
2025-10-03,88.5879
2025-07-03,89.1195
2025-06-03,89.174
2025-05-03,88.2535
2025-04-03,87.1643
2025-03-03,86.983
,86.9222
,88.4321
,88.7605
,88.9334
,89.8495
,90.3489
,90.0404
,89.5354
,89.5693
,89.5741
,90.3684
2025-12-02,90.3408
2025-11-02,90.5443
2025-10-02,92.1773
2025-07-02,93.319
2025-06-02,93.4896
2025-05-02,93.8883
2025-04-02,93.9231
2025-03-02,92.4237
,92.8772
,91.7379
,91.4688
,90.2227
,89.9694
,91.4588
,92.2667
,91.9229
,91.9008
,93.6339
,93.4158
,93.5764
,92.9463
,92.5951
,91.922
2025-10-01,93.7271
2025-09-01,94.581
2025-08-01,95.4138
2025-07-01,95.7436
2025-06-01,95.3266
2025-03-01,97.1671
2025-02-01,97.5681
2025-01-01,96.1113
,95.6932
,95.6777
,96.1819
,96.1901
,96.1467
,96.1694
,95.8415
,97.4275
,98.1827
,98.876
,99.805
,99.7847
2024-12-12,99.2226
2024-11-12,99.6289
2024-10-12,99.546
2024-09-12,99.5074
2024-06-12,99.6509
2024-05-12,99.4147
2024-04-12,98.6536
2024-03-12,98.2022
2024-02-12,97.1205
,96.7197
,96.1824
,97.2127
,96.7895
,96.8798
,95.4297
,93.5182
,94.0998
,93.7894
,93.9927
,93.9405
2024-12-11,95.3799
2024-11-11,96.5738
2024-08-11,96.4406
2024-07-11,96.8112
2024-06-11,97.5614
2024-05-11,96.3891
2024-04-11,95.6366
,96.3789
,96.533
,96.8881
,96.0172
,95.6705
,96.5901
,96.7928
,96.8263
,98.4247
,98.9248
,98.6003
,99.5525
,99.6355
,99.6839
2024-11-10,99.139
2024-10-10,99.2685
2024-09-10,98.9923
2024-08-10,98.6381
2024-07-10,97.3987
2024-04-10,98.7098
2024-03-10,99.4889
2024-01-10,101.4323
,101.4475
,102.7061
,102.6658
,102.0413
,101.7456
,101.6433
,100.9598
,99.8842
,99.968
,100.0653
,100.114
,100.089
2024-12-09,100.2373
2024-11-09,98.7724
2024-10-09,99.2319
2024-09-09,98.4675
2024-06-09,98.076
2024-05-09,99.3569
2024-04-09,99.2067
2024-03-09,99.6805
2024-02-09,99.5227
,99.3996
,98.9127
,98.7789
,98.8747
,98.6268
,97.9385
,97.9738
,97.8326
,97.6125
,97.0611
,96.8796
,95.3783
,95.363
2024-12-08,96.4431
2024-09-08,96.6915
2024-08-08,95.9036
2024-07-08,96.5617
2024-06-08,95.1642
2024-05-08,95.6995
2024-02-08,98.3992
2024-01-08,99.1905
,99.038
,98.6802
,98.4839
,98.3111
,96.7323
,96.7617
,96.5445
,96.7013
,96.409
,97.7055
,97.4713
,97.7671
2024-12-07,97.3785
2024-11-07,97.096
2024-10-07,96.9845
2024-09-07,97.3311
2024-08-07,96.8647
2024-05-07,96.8297
2024-04-07,96.6688
2024-03-07,96.3988
2024-02-07,95.5824
2024-01-07,95.6996
,94.9416
,95.1237
,94.643
,94.3814
,93.7392
,93.5537
,93.8753
,93.5849
,93.803
,93.6567
,93.04
2024-12-06,92.5612
2024-11-06,92.1206
2024-10-06,92.0097
2024-07-06,91.8562
2024-06-06,90.1267
2024-05-06,89.1172
2024-04-06,86.3042
2024-03-06,92.4271
,89.4481
,88.9933
,89.6503
,90.4202
,90.7877
,90.914
,90.9572
,89.864
,89.5067
,89.1256
,88.7259
,87.8377
,87.6274
,87.174
2024-10-05,86.9891
2024-09-05,86.3547
2024-08-05,87.904
2024-07-05,87.7561
2024-06-05,88.3316
2024-03-05,88.739
2024-02-05,89.3246
,89.0926
,89.083
,88.1658
,88.6125
,87.7308
,87.5655
,87.4154
,86.5741
,85.9544
,86.4844
,86.7351
2024-12-04,87.8748
2024-10-04,88.6487
2024-09-04,88.3609
2024-08-04,88.4212
2024-05-04,87.8656
2024-04-04,87.5846
2024-03-04,87.3591
2024-02-04,87.1671
2024-01-04,87.1447
,86.2324
,86.2356
,85.4068
,85.0202
,84.8535
,84.4561
,83.3538
,83.1639
,83.9851
,83.6902
,84.0568
,83.42
2024-12-03,85.1058
2024-11-03,85.4384
2024-07-03,86.2429
2024-06-03,85.81
2024-05-03,85.8536
2024-04-03,85.8389
2024-01-03,85.3718
,84.0569
,83.6231
,84.5543
,84.4802
,84.6745
,84.4739
,83.7597
,84.0611
,83.7003
,83.5478
,83.1557
,82.8433
,82.1878
2024-12-02,81.6287
2024-09-02,82.8752
2024-08-02,82.5897
2024-07-02,83.0313
2024-06-02,82.272
2024-05-02,81.5416
2024-02-02,81.7841
2024-01-02,81.3917
,81.5148
,80.7813
,81.478
,80.1233
,80.3079
,79.3097
,81.0521
,80.2485
,80.4761
,82.0535
,82.2457
2024-12-01,81.7745
2024-11-01,81.1364
2024-10-01,80.8502
2024-09-01,80.6145
2024-08-01,80.3728
2024-05-01,81.059
2024-04-01,80.9262
2024-03-01,80.1318
2024-02-01,80.3585
2024-01-01,80.3877
,80.2143
,80.057
,79.6145
,78.9312
,78.7363
,78.4313
,77.874
