date,nav
2026-04-08,106.9327
2026-03-08,106.8983
,106.8377
,106.7842
,106.8357
,106.8611
,106.8126
,106.5961
,106.5851
,106.6107
,106.6567
,106.5737
,106.6001
,106.5829
,106.5116
,106.4609
,106.7026
2026-10-07,106.6946
2026-09-07,106.5776
2026-08-07,106.5587
2026-07-07,106.7977
2026-06-07,106.8431
2026-03-07,106.8042
2026-02-07,106.7721
2026-01-07,106.6451
,106.6225
,106.4648
,106.3057
,106.1268
,106.041
,105.985
,105.9219
,105.9003
,105.8482
,105.8455
,105.8125
2026-12-06,105.6864
2026-11-06,105.5737
2026-10-06,105.6569
2026-09-06,105.5793
2026-08-06,105.3084
2026-05-06,105.107
2026-04-06,104.8095
2026-03-06,104.7496
2026-02-06,104.7663
2026-01-06,104.7025
,104.657
,104.5833
,104.5269
,104.5215
,104.3467
,104.285
,104.3826
,104.4216
,104.3791
,104.5968
,104.7318
,104.7371
2026-12-05,104.7585
2026-11-05,104.8053
2026-08-05,104.8696
2026-07-05,104.8762
2026-06-05,104.8043
2026-05-05,104.6166
2026-04-05,104.6544
,104.5706
,104.6594
,104.7428
,104.7771
,104.7091
,104.7652
,104.8473
,104.847
,104.8369
,104.7821
,104.7959
,104.7901
,104.6113
2026-10-04,104.5956
2026-09-04,104.515
2026-08-04,104.3919
2026-07-04,103.9918
2026-06-04,103.9142
2026-02-04,103.8813
,104.0116
,103.9921
,103.9102
,103.9713
,103.9816
,110.6625
,110.9352
,110.9985
,110.9316
,110.9159
,110.9287
2026-12-03,110.9898
2026-11-03,111.1072
2026-10-03,111.0484
2026-09-03,110.9193
2026-06-03,111.0395
2026-05-03,111.0534
2026-04-03,110.9499
2026-02-03,111.0653
,111.0261
,111.0069
,110.9826
,110.9394
,110.8829
,110.807
,110.8613
,110.8682
,110.8409
,110.7584
2026-12-02,110.6309
2026-11-02,110.5056
2026-10-02,110.4293
2026-09-02,110.4233
2026-06-02,110.4173
2026-05-02,110.5985
2026-04-02,110.4477
2026-03-02,110.296
2026-02-02,110.1537
,110.1903
,110.0922
,110.0855
,110.1078
,110.0766
,110.0539
,109.9438
,109.9385
,109.9742
,110.0107
,110.1286
,110.1878
2026-12-01,110.2974
2026-09-01,110.2327
2026-08-01,110.2218
2026-07-01,110.2175
2026-06-01,110.2647
2026-05-01,110.2498
2026-02-01,110.3333
2026-01-01,110.3493
,110.3212
,110.2176
,110.2799
,110.2247
,110.2079
,109.9954
,110.0241
,110.0403
,110.0195
,110.0266
,110.0261
,109.9944
2025-12-12,110.0652
2025-11-12,110.0609
2025-10-12,110.0466
2025-09-12,110.1852
2025-08-12,110.3299
2025-05-12,110.3373
2025-04-12,110.235
2025-03-12,110.2362
2025-02-12,110.2349
2025-01-12,110.211
,110.2615
,110.2743
,110.2658
,110.1924
,110.1322
,110.0708
,110.0882
,110.0771
,110.0205
,109.9756
,109.9725
,109.9907
2025-12-11,109.9947
2025-11-11,109.961
2025-10-11,109.925
2025-07-11,109.8609
2025-06-11,109.8337
2025-04-11,109.7941
2025-03-11,109.7548
,109.6768
,109.6521
,109.6934
,109.6404
,109.6125
,109.5673
,109.5817
,109.6155
,109.5844
,109.5131
,109.4754
,109.4088
,109.3763
2025-10-10,109.2852
2025-09-10,109.2597
2025-08-10,109.2524
2025-07-10,109.2045
2025-06-10,109.0926
2025-03-10,108.9591
2025-01-10,108.8285
,108.7397
,108.6702
,108.617
,108.5859
,108.5708
,108.5131
,108.4428
,108.4552
,108.4538
,108.3787
,108.3802
2025-12-09,108.4006
2025-11-09,108.369
2025-10-09,108.3574
2025-09-09,108.3519
2025-05-09,108.245
2025-04-09,108.1379
2025-03-09,108.0471
2025-02-09,108.0088
2025-01-09,108.0373
,108.0297
,108.066
,107.9266
,108.1037
,108.1096
,108.0985
,108.0899
,108.0083
,108.1271
,108.1543
,107.9901
2025-12-08,108.049
2025-11-08,108.2018
2025-08-08,108.2726
2025-07-08,108.2611
2025-06-08,108.2153
2025-05-08,108.4412
2025-04-08,108.4355
2025-01-08,108.2952
,108.2167
,108.1757
,108.1828
,108.2193
,108.1982
,108.2573
,108.2277
,108.1979
,108.1729
,108.1161
,108.0272
,107.9658
,107.962
,107.9617
2025-11-07,107.9125
2025-10-07,107.8928
2025-09-07,107.8924
2025-08-07,107.9198
2025-07-07,107.9243
2025-04-07,107.8466
2025-03-07,107.8552
2025-02-07,107.7677
2025-01-07,107.6624
,107.5767
,107.4878
,107.5011
,107.511
,107.5733
,107.4577
,107.4384
,107.4465
,107.5716
,107.5644
,107.4387
,107.3575
2025-12-06,107.4825
2025-11-06,107.5439
2025-10-06,107.6421
2025-09-06,107.886
2025-06-06,108.0092
2025-05-06,107.7812
2025-04-06,107.7469
2025-03-06,107.7345
2025-02-06,107.7103
,107.657
,107.6883
,107.6822
,107.6329
,107.6218
,107.5534
,107.5193
,107.4878
,107.2867
,107.1766
,107.0688
,106.9055
,106.7901
,106.6661
2025-09-05,106.2789
2025-08-05,106.3466
2025-07-05,106.5585
2025-06-05,106.5085
2025-05-05,106.5451
2025-02-05,106.4573
,106.4272
,106.4231
,106.3422
,106.2928
,106.3431
,106.3557
,106.2867
,106.1959
,106.0393
,105.9138
,105.8256
2025-11-04,105.7166
2025-09-04,105.595
2025-08-04,105.4798
2025-07-04,105.4895
2025-04-04,105.4731
2025-03-04,105.407
2025-02-04,105.2693
,104.8517
,104.798
,104.5887
,104.4275
,104.3152
,104.2711
,104.1787
,104.0851
,103.9843
,103.8685
,103.8183
,103.7314
2025-12-03,103.6937
2025-11-03,103.6633
2025-10-03,103.6318
2025-07-03,103.5932
2025-06-03,103.577
2025-05-03,103.5156
2025-04-03,103.4961
2025-03-03,103.4915
,103.4542
,103.475
,103.5311
,103.523
,103.4606
,103.4473
,103.428
,103.4024
,103.3587
,103.3413
2025-12-02,103.3327
2025-11-02,103.3491
2025-10-02,103.3119
2025-07-02,103.2983
2025-06-02,103.3557
2025-05-02,103.2887
2025-04-02,103.2096
2025-03-02,103.2079
,103.1194
,103.0995
,103.0631
,103.0551
,103.0191
,102.9
,102.8828
,102.882
,102.833
,102.7722
,102.6971
,102.6846
,102.5547
,102.5067
,102.479
2025-10-01,102.5788
2025-09-01,102.5669
2025-08-01,102.5842
2025-07-01,102.5942
2025-06-01,102.5428
2025-03-01,102.4734
2025-02-01,102.4411
2025-01-01,102.4373
,102.4261
,102.3935
,102.3377
,102.3057
,102.276
,102.2971
,102.2299
,102.2319
,102.3051
,102.2788
,108.8176
,108.7654
2024-12-12,108.76
2024-11-12,108.7714
2024-10-12,108.7512
2024-09-12,108.7124
2024-06-12,108.6492
2024-05-12,108.7127
2024-04-12,108.6652
2024-03-12,108.5772
2024-02-12,108.547
,108.3481
,108.248
,108.2186
,108.234
,108.2199
,108.1301
,108.1547
,108.1459
,108.1144
,108.0265
,108.0513
2024-12-11,108.0534
2024-11-11,108.0457
2024-08-11,107.9884
2024-07-11,107.9237
2024-06-11,107.8879
2024-05-11,107.8874
2024-04-11,107.8739
,107.8015
,107.7881
,107.725
,107.6861
,107.6909
,107.674
,107.6336
,107.5869
,107.6357
,107.6158
,107.6503
,107.6535
,107.6534
,107.6186
2024-11-10,107.5265
2024-10-10,107.504
2024-09-10,107.4772
2024-08-10,107.3126
2024-07-10,107.2487
2024-04-10,107.2257
2024-03-10,107.3076
2024-01-10,107.3237
,107.225
,107.1769
,107.1966
,107.1126
,107.0466
,107.0237
,106.929
,106.8809
,106.7639
,106.7623
,106.6573
2024-12-09,106.5827
2024-11-09,106.5512
2024-10-09,106.4902
2024-09-09,106.4667
2024-06-09,106.4146
2024-05-09,106.4059
2024-04-09,106.3754
2024-03-09,106.3329
2024-02-09,106.3054
,106.2668
,106.2648
,106.2365
,106.1953
,106.1703
,106.1127
,106.0858
,106.0518
,106.0252
,105.9818
,105.9116
,105.8943
,105.8532
2024-12-08,105.8262
2024-09-08,105.7861
2024-08-08,105.7637
2024-07-08,105.7549
2024-06-08,105.7253
2024-05-08,105.7262
2024-02-08,105.5909
2024-01-08,105.5455
,105.5109
,105.5094
,105.5119
,105.4135
,105.3408
,105.2595
,105.2253
,105.223
,105.1758
,105.1452
,105.0855
,105.0151
2024-12-07,104.9292
2024-11-07,104.9227
2024-10-07,104.9009
2024-09-07,104.8761
2024-08-07,104.8485
2024-05-07,104.7786
