scheme,mean_daily_return,downside_deviation,sortino_ratio,Sortino_Rank
148567,0.001073675403449081,0.008849365571583867,1.4776803315864886,1.0
120843,0.001081754914045031,0.009457242220416799,1.396262398583052,2.0
148569,0.0011240540293206527,0.010553171342656214,1.314890936031323,3.0
119551,0.0009167982325947294,0.008284408112473093,1.2778445274111256,4.0
120505,0.0011613203372383767,0.011573957562959435,1.250035138312352,5.0
149323,0.0010551910655344048,0.011140885296141599,1.1474046581328465,6.0
100033,0.0010798038431409668,0.011621995410895189,1.1335247477292634,7.0
118632,0.0008652259973214283,0.008716938603046086,1.1205197328586975,8.0
101206,0.0008517723174694551,0.008809066237043531,1.0845566273543332,9.0
119094,0.0010266978562569042,0.011624551419035197,1.0607538790280233,10.0
120504,0.0008430464116382315,0.00887930266715726,1.0603773810138761,11.0
149324,0.0011941715475284602,0.015046880684196871,0.996176599908065,12.0
119598,0.0012010157369980656,0.015170492079235478,0.9952214140400343,13.0
119552,0.0007852425930349881,0.008555166514566006,0.9932950480667999,14.0
148568,0.0008250722735460028,0.009434261702605277,0.9677578806587319,15.0
120507,0.0002676525413793258,0.0003069153699274105,0.9165953070388927,16.0
102885,0.0006741587522893979,0.0078477706672651,0.8581294632693188,17.0
120503,0.000697595408431375,0.008514123954522218,0.8346658623726045,18.0
125497,0.0007095223731125696,0.008892499317560264,0.820442380366013,19.0
118635,0.000600473969875538,0.007954983000992793,0.6995229998360207,20.0
118633,0.0006163137445172902,0.00834885847988983,0.6966392128529744,21.0
120506,0.0006501094769466271,0.009406060192409322,0.6753765859459133,22.0
102887,0.000645340694310669,0.009497478615237474,0.6609049619141061,23.0
120841,0.0005220152587214266,0.008366274087077801,0.5162632852021568,24.0
149322,0.0005222511308194414,0.008964540083815212,0.482227136936629,25.0
118634,0.0007071093821003067,0.015806979211767675,0.4591312587602881,26.0
125498,0.00047686346287115325,0.011605820215089557,0.31039922555460453,27.0
120844,0.0002561287499929851,0.0003217011433474718,0.3058200841214641,28.0
101207,0.0004244528681492361,0.015964062831941617,0.17354261491325482,29.0
119093,0.00032985864437101356,0.008846880579124862,0.14341873925667284,30.0
120842,0.0003119045881482731,0.01147729670095623,0.08571675699461598,31.0
119092,0.0002749789297660477,0.008711653538349486,0.04564231073474599,32.0
119599,0.00020131692580289563,0.0158642306516599,-0.04864579193920025,33.0
119095,0.00018236517391230026,0.01569692979311033,-0.06833041952547857,34.0
119120,0.00022226830595075775,0.0024878910263001165,-0.17650902308220498,35.0
102886,0.0001098147223397074,0.011662576365628782,-0.19071948105562395,36.0
100016,0.00014159930699210853,0.008976033731074334,-0.1915897293451984,37.0
118636,0.00020153331311365723,0.0025159215517640667,-0.3053724075580029,38.0
101208,0.00024154628565905978,0.0003267138495278746,-0.40741087117080227,39.0
100025,0.00017005379350090052,0.002457781889549562,-0.5159184013047049,40.0
