overall_rank,scheme,cagr_3yr,sharpe_ratio,alpha,expense_ratio,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,score,rank
35,148567,0.3400091602163293,1.46250402900308,0.2698375144191807,,-0.1126572907502827,97.5,100.0,85.0,,82.5,,94.25,1
31,120843,0.2958277033726251,1.3194419817117222,0.2733046503830605,,-0.1297396816518679,85.0,97.5,90.0,,70.0,,88.25,2
26,120505,0.317775371512347,1.1905585963067509,0.2926358334175106,,-0.1818851357211629,90.0,90.0,95.0,,40.0,,86.0,3
3,100033,0.3244245942195611,1.1043517629506805,0.2719535450128533,,-0.1621720857464484,92.5,85.0,87.5,,52.5,,85.25,4
37,148569,0.2917890157839378,1.2463441409620546,0.2827036785246582,,-0.1639674294693263,82.5,95.0,92.5,,50.0,,85.0,5
20,119551,0.3045652442030289,1.222947214685128,0.2320100716063508,,-0.1501238549864533,87.5,92.5,77.5,,60.0,,84.25,6
25,120504,0.3248742855621496,1.0405688566490552,0.2119482701352573,,-0.1258827560692251,95.0,77.5,70.0,,72.5,,82.5,7
17,119094,0.3511180209642852,1.008625789131447,0.2607666908004223,,-0.2096088386203919,100.0,75.0,80.0,,32.5,,81.75,8
4,101206,0.2896769452874166,1.0410608155745142,0.2139978477605121,,-0.1129159632932307,80.0,80.0,72.5,,80.0,,78.5,9
39,149323,0.268699908289022,1.1434895599140866,0.2659857754204304,,-0.1724810575345138,75.0,87.5,82.5,,47.5,,77.5,10
40,149324,0.2700042661451924,0.9579170598994396,0.3005787817097677,,-0.3117190030063421,77.5,70.0,97.5,,10.0,,72.5,11
10,118632,0.2265235983009863,1.0959175992660923,0.2182939790460864,,-0.1741407508665723,67.5,82.5,75.0,,45.0,,71.25,12
22,119598,0.2666992200118774,0.9533324621776288,0.3033696538698332,,-0.2870600572176455,72.5,67.5,100.0,,12.5,,70.5,13
7,102885,0.1966726206830185,0.8328147683762688,0.1704875680341269,,-0.1085986215250232,57.49999999999999,60.0,55.00000000000001,,85.0,,60.5,14
21,119552,0.1626737229462491,0.9677516848309506,0.1986859936686296,,-0.1180349350276429,45.0,72.5,65.0,,75.0,,60.25,15
33,125497,0.1843448861052017,0.7895427197023165,0.1772975492753176,,-0.1520001305560639,55.00000000000001,55.00000000000001,62.5,,57.49999999999999,,56.75,16
13,118635,0.2000820838047148,0.6803950621402518,0.1513635464823924,,-0.1165062450540909,60.0,52.5,45.0,,77.5,,56.5,17
36,148568,0.1474803553358601,0.9393621577599311,0.2087301008694233,,-0.1527259422823477,42.5,65.0,67.5,,55.00000000000001,,55.5,18
9,102887,0.2555618790412652,0.632319243278044,0.1621125679403325,,-0.2153982711238322,70.0,45.0,50.0,,27.500000000000004,,54.25,19
11,118633,0.2108997654925684,0.6596198173038668,0.1564383594816966,,-0.1862974313859551,65.0,47.5,47.5,,37.5,,53.5,20
24,120503,0.1397838193370304,0.8125023019488139,0.1770330236584407,,-0.1389786282306163,40.0,57.49999999999999,60.0,,67.5,,52.0,21
27,120506,0.1842199653744454,0.6621241011051734,0.1625385327998104,,-0.1982565826298267,52.5,50.0,52.5,,35.0,,50.0,22
38,149322,0.1804420648663613,0.4780917280523983,0.1317319022609943,,-0.1484457691777174,50.0,40.0,42.5,,62.5,,46.75,23
28,120507,0.0739428630036007,0.9041623305389642,0.0674621041109953,,-0.0009773140045925,30.0,62.5,25.0,,100.0,,45.75,24
29,120841,0.1726727508371786,0.5092559163430059,0.1304292445070544,,-0.1757361416468729,47.5,42.5,40.0,,42.5,,44.0,25
16,119093,0.2081677117553586,0.1440412221042839,0.0823280129522209,,-0.2175139637014822,62.5,27.500000000000004,32.5,,25.0,,42.25,26
12,118634,0.0800792772865608,0.4564261243061777,0.1750072167561127,,-0.2334488614483311,35.0,37.5,57.49999999999999,,22.5,,39.0,27
34,125498,0.1124522286662141,0.3116040974052222,0.1198910097121797,,-0.2111727956013211,37.5,35.0,37.5,,30.0,,36.0,28
32,120844,0.0669597162458699,0.3042518233343443,0.0645567749537599,,-0.0011629327956168,27.500000000000004,32.5,22.5,,97.5,,35.0,29
30,120842,0.0775600355132728,0.0872731847904021,0.0780443887615508,,-0.2400351132627488,32.5,25.0,30.0,,20.0,,28.5,30
19,119120,0.0584035879846309,-0.1757233632822941,0.0562089521663836,,-0.0432872892397009,22.5,15.0,17.5,,90.0,,26.0,31
6,101208,0.063157844913755,-0.4172293824615271,0.0608614579578711,,-0.0016224980244717,25.0,5.0,20.0,,95.0,,25.0,32
15,119092,0.0052588712097574,0.0452453229903436,0.0689952982167755,,-0.1440161790933726,12.5,22.5,27.500000000000004,,65.0,,23.75,33
14,118636,0.0406220502377714,-0.3060132192394924,0.050747729999761,,-0.083163617636387,20.0,7.5,15.0,,87.5,,22.0,34
5,101207,-0.0415238104485448,0.1704806951883158,0.1089709190170453,,-0.3544691649336603,5.0,30.0,35.0,,7.5,,18.75,35
2,100025,0.0391638995710403,-0.5154378235861931,0.0428179203150608,,-0.0430826382463634,17.5,2.5,7.5,,92.5,,18.5,36
1,100016,0.0129264934249562,-0.18765046878624,0.0374758076344328,,-0.247344408806733,15.0,12.5,5.0,,17.5,,12.5,37
