scheme,max_drawdown,max_drawdown_percent,peak_date,drawdown_date,peak_nav,drawdown_nav
119599,-0.5257422117012851,-52.57422117012851,2023-01-17,2025-10-28,165.7647,78.6152
119095,-0.5167775370852656,-51.677753708526566,2025-05-22,2026-05-11,106.8214,51.6185
101207,-0.3544691649336603,-35.44691649336603,2024-11-21,2026-05-11,80.3517,51.8695
149324,-0.31171900300634214,-31.171900300634213,2024-05-03,2025-01-03,174.4645,120.0806
119598,-0.2870600572176455,-28.706005721764548,2024-08-28,2025-05-14,225.2452,160.5863
102886,-0.2800112356639287,-28.00112356639287,2025-01-07,2026-04-27,169.8164,122.2659
100016,-0.24734440880673303,-24.734440880673304,2022-03-30,2022-09-15,546.3002,411.1759
120842,-0.24003511326274884,-24.003511326274886,2023-11-09,2024-10-17,80.0837,60.8608
118634,-0.2334488614483311,-23.34488614483311,2025-04-09,2026-02-20,126.7224,97.1392
119093,-0.21751396370148224,-21.751396370148225,2022-02-24,2023-05-22,42.2166,33.0339
102887,-0.21285398874796857,-21.285398874796858,2022-01-06,2022-07-04,190.4545,149.9155
125498,-0.21117279560132118,-21.11727956013212,2025-04-04,2025-09-12,168.9962,133.3088
119094,-0.20960883862039192,-20.960883862039193,2022-04-14,2022-08-11,77.8221,61.5099
120506,-0.1982565826298267,-19.82565826298267,2023-03-31,2023-08-14,277.8107,222.7329
118633,-0.18629743138595511,-18.62974313859551,2023-10-30,2024-02-29,62.7459,51.0565
120505,-0.18188513572116294,-18.188513572116292,2024-10-24,2025-01-23,342.4337,280.1501
120841,-0.1757361416468729,-17.57361416468729,2024-01-09,2025-02-14,435.7823,359.1996
118632,-0.17414075086657232,-17.41407508665723,2024-01-02,2024-07-19,81.932,67.6643
149323,-0.17248105753451382,-17.24810575345138,2022-06-06,2022-10-24,88.1749,72.9664
148569,-0.1639674294693263,-16.39674294693263,2023-08-10,2023-10-20,54.5401,45.5973
100033,-0.16217208574644848,-16.217208574644847,2022-03-11,2022-05-12,111.6641,93.5553
148568,-0.1527259422823477,-15.27259422823477,2023-09-05,2024-01-24,155.2454,131.5354
125497,-0.15200013055606398,-15.200013055606398,2023-12-22,2025-01-01,857.869,727.4728
119551,-0.1501238549864533,-15.012385498645331,2023-08-24,2024-02-05,77.51,65.8739
119092,-0.1440161790933726,-14.401617909337261,2023-10-12,2025-02-07,54.8362,46.9389
149322,-0.14111986534883125,-14.111986534883126,2024-08-05,2024-12-19,502.1568,431.2925
120503,-0.13897862823061635,-13.897862823061635,2023-09-19,2023-11-09,83.6992,72.0668
120843,-0.1297396816518679,-12.97396816518679,2022-03-07,2022-04-13,51.4908,44.8104
120504,-0.12588275606922517,-12.588275606922517,2022-10-04,2023-05-30,73.2507,64.0297
119552,-0.11803493502764295,-11.803493502764296,2024-05-21,2024-09-02,123.6295,109.0369
118635,-0.11511457598975516,-11.511457598975516,2022-04-13,2022-06-09,170.0749,150.4968
101206,-0.11291596329323073,-11.291596329323072,2023-04-24,2023-07-05,370.0026,328.2234
148567,-0.11265729075028275,-11.265729075028275,2023-07-11,2023-10-20,101.8496,90.3755
102885,-0.1085986215250232,-10.85986215250232,2022-02-03,2022-03-29,93.7848,83.5999
118636,-0.08316361763638702,-8.316361763638703,2023-02-09,2024-02-09,34.1748,31.3327
119120,-0.04328728923970093,-4.328728923970093,2024-09-16,2025-04-01,52.5004,50.2278
100025,-0.04308263824636349,-4.308263824636349,2023-05-23,2023-07-28,28.7494,27.5108
101208,-0.0016224980244717857,-0.16224980244717857,2023-09-05,2023-09-12,346.9958,346.4328
120844,-0.0011629327956168556,-0.11629327956168556,2024-04-12,2024-04-30,3738.8231,3734.4751
120507,-0.0009773140045925555,-0.09773140045925555,2025-10-16,2025-10-20,372.0401,371.6765
