amfi_code,scheme_name,VaR_95,CVaR_95,observations
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.026859435149613777,-0.03238412245049213,1149
119095,Axis Small Cap Fund - Regular - Growth,-0.02618842440959032,-0.03166729360598023,1149
101207,ABSL Small Cap Fund - Regular - Growth,-0.02602124822106102,-0.0324590589870443,1149
118634,Nippon India Small Cap Fund - Regular - Growth,-0.02543811145896308,-0.03230407269781849,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.02450705190567708,-0.030595264108802363,1149
149324,DSP Small Cap Fund - Regular - Growth,-0.02348306938677714,-0.031036252021884363,1149
102886,UTI Mid Cap Fund - Regular - Growth,-0.01922028344426498,-0.023250860269221154,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.01903353586155876,-0.023455762770703745,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.01889178619869272,-0.024342070395519767,1149
119094,Axis Midcap Fund - Regular - Growth,-0.018480276243938238,-0.024260059478370517,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.01836532016960094,-0.023093793053167895,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.018218530452556,-0.02272497526268083,1149
149323,DSP Midcap Fund - Regular - Growth,-0.0178820762019034,-0.022606642100420286,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.0171181926556211,-0.021328305810328047,1149
102887,UTI Flexi Cap Fund - Regular - Growth,-0.0152316172791578,-0.01941118267915865,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.01471153133351274,-0.01876476958423083,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.0145917690711404,-0.01830988532805787,1149
120843,Kotak Flexicap Fund - Regular - Growth,-0.01450794138563042,-0.018381077688017104,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.014473851983792701,-0.018401747612732552,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.014388462899080839,-0.019404898602496858,1149
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.014363639988111099,-0.018060207632171713,1149
119093,Axis Bluechip Fund - Direct - Growth,-0.014225516634796,-0.01748670974901301,1149
118632,Nippon India Large Cap Fund - Regular - Growth,-0.01395404587001808,-0.0176185793201621,1149
119092,Axis Bluechip Fund - Regular - Growth,-0.01374959207636374,-0.017327870956436002,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.01372819329593972,-0.01749414368560656,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.01355977641751052,-0.01762287990582216,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.01355001716250344,-0.01745055416552428,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.01350097047993506,-0.017335699664199775,1149
118633,Nippon India Large Cap Fund - Direct - Growth,-0.013442525143024159,-0.01663017825400478,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.013281661986281399,-0.017439425687129154,1149
120841,Kotak Bluechip Fund - Regular - Growth,-0.013141782186804,-0.016362736618343313,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.0128462286288425,-0.01639680693408757,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.01261262882069352,-0.015490405253112067,1149
118635,Nippon India ETF Nifty 50 BeES,-0.01255369728475462,-0.01617696049480907,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.00393828312185076,-0.005013693153022198,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.00380414606894428,-0.004918918420478235,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.0037932461995226,-0.004993763020560235,1149
120844,Kotak Liquid Fund - Regular - Growth,-0.00028479272823552,-0.0004109959193322759,1149
101208,ABSL Liquid Fund - Regular - Growth,-0.00026865751303995996,-0.00042208206558571037,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.00022157351389338,-0.0003725803997964466,1149
